search_time	search_id	listing_type	property_type	search_location	search_price_min	search_price_max	platform	user_id
2018-07-01 12:06:28	716	sale	landed	dtdistrict13		3100000	web	u283
2018-07-01 12:07:30	717	rent	landed	dtdistrict01,dtdistrict02,dtdistrict03,dtdistrict04,dtdistrict05,dtdistrict06,dtdistrict07,dtdistrict08,dtdistrict09,dtdistrict10,dtdistrict11,dtdistrict12,dtdistrict13,dtdistrict14,dtdistrict15,dtdistrict28	2500	5500	web	u1250
2018-07-01 12:07:42	718	sale	landed	dtdistrict13		3100000	web	u283
2018-07-01 12:08:17	719	rent	landed	dtdistrict01,dtdistrict02,dtdistrict03,dtdistrict04,dtdistrict05,dtdistrict06,dtdistrict07,dtdistrict08,dtdistrict09,dtdistrict10,dtdistrict11,dtdistrict12,dtdistrict13,dtdistrict14,dtdistrict15,dtdistrict28	2500	5500	web	u1250
2018-07-01 12:09:22	720	rent	landed	dtdistrict01,dtdistrict02,dtdistrict03,dtdistrict04,dtdistrict05,dtdistrict06,dtdistrict07,dtdistrict08,dtdistrict09,dtdistrict10,dtdistrict11,dtdistrict12,dtdistrict13,dtdistrict14,dtdistrict15,dtdistrict28	2500	5500	web	u1250
2018-07-01 12:09:49	721	rent	landed	dtdistrict01,dtdistrict02,dtdistrict03,dtdistrict04,dtdistrict05,dtdistrict06,dtdistrict07,dtdistrict08,dtdistrict09,dtdistrict10,dtdistrict11,dtdistrict12,dtdistrict13,dtdistrict14,dtdistrict15,dtdistrict28	2500	5500	web	u1250
2018-07-01 12:11:48	722	rent	landed	dtdistrict21	10000		web	u811
2018-07-01 12:11:55	723	rent	landed	dtdistrict21	9000		web	u811
2018-07-01 12:12:20	724	rent	landed	dtdistrict01,dtdistrict02,dtdistrict03,dtdistrict04,dtdistrict05,dtdistrict06,dtdistrict07,dtdistrict08,dtdistrict09,dtdistrict10,dtdistrict11,dtdistrict12,dtdistrict13,dtdistrict14,dtdistrict15,dtdistrict28	2500	5500	web	u1250
2018-07-01 12:12:51	725	rent	landed	dtdistrict01,dtdistrict02,dtdistrict03,dtdistrict04,dtdistrict05,dtdistrict06,dtdistrict07,dtdistrict08,dtdistrict09,dtdistrict10,dtdistrict11,dtdistrict12,dtdistrict13,dtdistrict14,dtdistrict15,dtdistrict28	2500	5500	web	u1250
2018-07-01 12:13:11	726	rent	landed	dtdistrict01,dtdistrict02,dtdistrict03,dtdistrict04,dtdistrict05,dtdistrict06,dtdistrict07,dtdistrict08,dtdistrict09,dtdistrict10,dtdistrict11,dtdistrict12,dtdistrict13,dtdistrict14,dtdistrict15,dtdistrict28	2500	5500	web	u1250
2018-07-01 12:14:06	727	rent	landed	dtdistrict01,dtdistrict02,dtdistrict03,dtdistrict04,dtdistrict05,dtdistrict06,dtdistrict07,dtdistrict08,dtdistrict09,dtdistrict10,dtdistrict11,dtdistrict12,dtdistrict13,dtdistrict14,dtdistrict15,dtdistrict28	2500	5500	web	u1250
2018-07-01 12:15:47	728	rent	condo	dtdistrict09		2500	web	u1562
2018-07-01 12:16:10	729	rent	condo	dtdistrict09		2500	web	u1562
2018-07-01 12:16:12	730	rent	condo	dtdistrict09		2500	web	u1562
2018-07-01 12:16:15	731	rent	condo	dtdistrict09		2500	web	u1562
2018-07-01 12:17:17	732	rent		dtdistrict20		1500	web	u2272
2018-07-01 12:18:13	733	rent	condo	dtdistrict09		2500	web	u1562
2018-07-01 12:18:37	734	rent	condo	dtdistrict09		2500	web	u1562
2018-07-01 12:18:40	735	rent	condo	dtdistrict09		2500	web	u1562
2018-07-01 12:19:22	736	sale	condo	dtdistrict01,dtdistrict02,dtdistrict03,dtdistrict06,dtdistrict07,dtdistrict08,dtdistrict09,dtdistrict10,dtdistrict11,dtdistrict12,dtdistrict13		1400000	web	u1136
2018-07-01 12:20:10	737	sale	condo	dtdistrict01,dtdistrict02,dtdistrict03,dtdistrict06,dtdistrict07,dtdistrict08,dtdistrict09,dtdistrict10,dtdistrict11,dtdistrict12,dtdistrict13		1400000	web	u1136
